title,date,location,link
"Donald J. Trump: Remarks at Aston Community Center in Aston, Pennsylvania","September 13, 2016","Aston, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119193
"Donald J. Trump: Remarks at the KI Convention Center in Green Bay, Wisconsin","August 5, 2016","Green Bay, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=123199
Donald J. Trump: Remarks Introducing Governor Mike Pence as the 2016 Republican Vice Presidential Nominee in New York City,"July 16, 2016",New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=117791
"Donald J. Trump: Remarks at a Rally at the Mid-America Center in Council Bluffs, Iowa","September 28, 2016","Council Bluffs, Iowa",http://www.presidency.ucsb.edu/ws/index.php?pid=119200
"Donald J. Trump: Remarks at the Summit Sports and Ice Complex in Dimondale, Michigan","August 19, 2016","Dimondale, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=123197
"Donald J. Trump: Remarks at the Cleveland Arts and Social Sciences Academy in Cleveland, Ohio","September 8, 2016","Cleveland, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119195
Donald J. Trump: Remarks Announcing Candidacy for President in New York City,"June 16, 2015",New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=110306
"Donald J. Trump: Remarks at the Jeffco Fairgrounds Event Center in Golden, Colorado","October 29, 2016","Golden, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=119181
"Donald J. Trump: Remarks at Great Faith International Ministries in Detroit, Michigan","September 3, 2016","Detroit, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=119199
Donald J. Trump: Remarks at Trump SoHo in New York City,"June 22, 2016",New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=117790
"Donald J. Trump: Remarks at a Rally at the Greenville Convention Center in Greenville, North Carolina","September 6, 2016","Greenville, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119197
"Donald J. Trump: Address to the National Guard Association of the United States 138th General Conference & Exhibition at the Baltimore Convention Center in Baltimore, Maryland","September 12, 2016","Baltimore, Maryland",http://www.presidency.ucsb.edu/ws/index.php?pid=119205
"Donald J. Trump: Remarks at the Suburban Collection Showplace in Novi, Michigan","September 30, 2016","Novi, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=119179
"Donald J. Trump: Remarks at the Mississippi Coliseum in Jackson, Mississippi","August 24, 2016","Jackson, Mississippi",http://www.presidency.ucsb.edu/ws/index.php?pid=123198
"Donald J. Trump: Remarks at the Bayfront Park Amphitheater in Miami, Florida","November 2, 2016","Miami, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=123514
"Donald J. Trump: Remarks at the Washington County Fair Park in West Bend, Wisconsin","August 16, 2016","West Bend, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=119165
"Donald J. Trump: Remarks at a Rally at Sun Center Studios in Chester Township, Pennsylvania","September 22, 2016","Chester Township, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119189
"Donald J. Trump: Remarks at the Pueblo Convention Center in Pueblo, Colorado","October 3, 2016","Pueblo, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=119166
"Donald J. Trump: Remarks at Henderson Pavilion in Henderson, Nevada","October 5, 2016","Henderson, Nevada",http://www.presidency.ucsb.edu/ws/index.php?pid=119169
"Donald J. Trump: Remarks at Prescott Valley Event Center in Prescott Valley, Arizona","October 4, 2016","Prescott Valley, Arizona",http://www.presidency.ucsb.edu/ws/index.php?pid=119168
"Donald J. Trump: Remarks at the WNC Agricultural Center's Davis Event Center in Fletcher, North Carolina","October 21, 2016","Fletcher, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119185
"Donald J. Trump: Remarks at the Delaware County Fairgrounds in Delaware, Ohio","October 20, 2016","Delaware, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119184
"Donald J. Trump: Remarks at the KI Convention Center in Green Bay, Wisconsin","October 17, 2016","Green Bay, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=119183
"Donald J. Trump: Remarks at the Phoenix Convention Center in Phoenix, Arizona","October 29, 2016","Phoenix, Arizona",http://www.presidency.ucsb.edu/ws/index.php?pid=119182
"Donald J. Trump: News Conference in Doral, Florida","July 27, 2016","Doral, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=118047
"Donald J. Trump: Remarks at the South Florida Fair Expo Center in West Palm Beach, Florida","October 13, 2016","West Palm Beach, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119180
"Donald J. Trump: Remarks at the XFinity Arena in Everett, Washington","August 30, 2016","Everett, Washington",http://www.presidency.ucsb.edu/ws/index.php?pid=119806
"Donald J. Trump: Remarks at Saint Anselm College in Manchester, New Hampshire","June 13, 2016","Manchester, New Hampshire",http://www.presidency.ucsb.edu/ws/index.php?pid=117775
Donald J. Trump: Remarks in New York City Accepting Election as the 45th President of the United States,"November 9, 2016",New York City Accepting Election as the 45th President of the United States,http://www.presidency.ucsb.edu/ws/index.php?pid=119495
Donald J. Trump: Remarks to the Detroit Economic Club,"August 8, 2016",ald J. Trump: Remarks to the Detroit Economic Club,http://www.presidency.ucsb.edu/ws/index.php?pid=119744
"Donald J. Trump: Remarks at the AIPAC Policy Conference in Washington, DC","March 21, 2016","Washington, DC",http://www.presidency.ucsb.edu/ws/index.php?pid=116597
"Donald J. Trump: Remarks at a Rally at the James L. Knight Center in Miami, Florida","September 16, 2016","Miami, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119208
"Donald J. Trump: Remarks at the Roberts Centre in Wilmington, Ohio","September 1, 2016","Wilmington, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119198
"Donald J. Trump: Remarks at a Rally at the New Hampshire Sportsplex in Bedford, New Hampshire","September 29, 2016","Bedford, New Hampshire",http://www.presidency.ucsb.edu/ws/index.php?pid=119202
Donald J. Trump: Remarks at a Rally at the University of North Carolina in Wilmington,"August 9, 2016",Wilmington,http://www.presidency.ucsb.edu/ws/index.php?pid=122534
"Donald J. Trump: Remarks on Obamacare in Valley Forge, Pennsylvania","November 1, 2016","Valley Forge, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=122535
"Donald J. Trump: Remarks at J.S Dorton Arena in Raleigh, North Carolina","November 7, 2016","Raleigh, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=122536
"Donald J. Trump: Remarks at Macomb Community College South Campus in Warren, Michigan","October 31, 2016","Warren, Michigan",http://www.presidency.ucsb.edu/ws/index.php?pid=122537
"Donald J. Trump: Remarks at the US Cellular Center in Asheville, North Carolina","September 12, 2016","Asheville, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119178
"Donald J. Trump: Remarks at the Reno-Sparks Convention Center in Reno, Nevada","October 5, 2016","Reno, Nevada",http://www.presidency.ucsb.edu/ws/index.php?pid=119170
"Donald J. Trump: Remarks at the Norris-Penrose Event Center in Colorado Springs, Colorado","October 18, 2016","Colorado Springs, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=123516
"Donald J. Trump: Remarks at Youngstown State University in Youngstown, Ohio","August 15, 2016","Youngstown, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119503
"Donald J. Trump: Remarks on Immigration at the Phoenix Convention Center in Phoenix, Arizona","August 31, 2016","Phoenix, Arizona",http://www.presidency.ucsb.edu/ws/index.php?pid=119805
"Donald J. Trump: Remarks at the Budweiser Events Center in Loveland, Colorado","October 3, 2016","Loveland, Colorado",http://www.presidency.ucsb.edu/ws/index.php?pid=119167
"Donald J. Trump: Remarks at a Rally at Canton Memorial Civic Center in Canton, Ohio","September 14, 2016","Canton, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119190
"Donald J. Trump: Remarks at Toyota of Portsmouth in Portsmouth, New Hampshire ","October 15, 2016","Portsmouth, New Hampshire ",http://www.presidency.ucsb.edu/ws/index.php?pid=119174
"Donald J. Trump: Remarks at Erie Insurance Arena in Erie, Pennsylvania","August 12, 2016","Erie, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=123515
"Donald J. Trump: Remarks at McGlohon Theatre at Spirit Square in Charlotte, North Carolina","October 26, 2016","Charlotte, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119188
"Donald J. Trump: Remarks at the Union League of Philadelphia in Philadelphia, Pennsylvania","September 7, 2016","Philadelphia, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119177
"Donald J. Trump: Remarks at the Cross Insurance Center in Bangor, Maine","October 15, 2016","Bangor, Maine",http://www.presidency.ucsb.edu/ws/index.php?pid=119172
"Donald J. Trump: Remarks at the Renaissance Hotel in Columbus, Ohio","October 13, 2016","Columbus, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119173
"Donald J. Trump: Remarks at the Central Florida Fairgrounds in Orlando, Florida","November 2, 2016","Orlando, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=123513
"Donald J. Trump: Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida","October 11, 2016","Panama City, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119171
"Donald J. Trump: Remarks at Luedecke Arena in Austin, Texas","August 23, 2016","Austin, Texas",http://www.presidency.ucsb.edu/ws/index.php?pid=119176
Donald J. Trump: Remarks to the Economic Club of New York at the Waldorf Astoria in New York City,"September 15, 2016",New York City,http://www.presidency.ucsb.edu/ws/index.php?pid=119209
"Donald J. Trump: Remarks at the Southeastern Livestock Pavilion in Ocala, Florida","October 12, 2016","Ocala, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=123517
"Donald J. Trump: Remarks at the Charlotte Convention Center in Charlotte, North Carolina","August 18, 2016","Charlotte, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119175
"Donald J. Trump: Remarks at Radisson Armory in Manchester, New Hampshire","October 28, 2016","Manchester, New Hampshire",http://www.presidency.ucsb.edu/ws/index.php?pid=123519
"Donald J. Trump: Remarks at the Shale Insight TM Conferencee at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania","September 22, 2016","Pittsburgh, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119191
"Donald J. Trump: Remarks at Seven Flags Event Center in Des Moines, Iowa","September 13, 2016","Des Moines, Iowa",http://www.presidency.ucsb.edu/ws/index.php?pid=119206
"Donald J. Trump: Remarks at the Remembrance Project Luncheon at the Omni Houston Hotel at Westside in Houston, Texas","September 17, 2016","Houston, Texas",http://www.presidency.ucsb.edu/ws/index.php?pid=119207
"Donald J. Trump: Remarks to the 11th Annual Values Voter Summit in Washington, DC Omni Shoreham Hotel, Washington, D.C.","September 9, 2016","Washington, DC Omni Shoreham Hotel, Washington, D.C.",http://www.presidency.ucsb.edu/ws/index.php?pid=119194
"Donald J. Trump: Remarks at a Rally at Waukesha County Expo Center in Waukesha, Wisconsin","September 28, 2016","Waukesha, Wisconsin",http://www.presidency.ucsb.edu/ws/index.php?pid=119201
"Donald J. Trump: Remarks to the American Legion in Cincinnati, Ohio","September 1, 2016","Cincinnati, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=119196
"Donald J. Trump: Remarks at a Rally at Berglund Center in Roanoke, Virginia","September 24, 2016","Roanoke, Virginia",http://www.presidency.ucsb.edu/ws/index.php?pid=119203
"Donald J. Trump: Remarks at a Rally at the Pensacola Bay Center in Pensacola, Florida","September 9, 2016","Pensacola, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119204
"Donald J. Trump: Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio","July 21, 2016","Cleveland, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=117935
"Donald J. Trump: Remarks on Proposals for the First 100 Days in Office at the Eisenhower Complex in Gettysburg, Pennsylvania","October 22, 2016","Office at the Eisenhower Complex in Gettysburg, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119875
"Donald J. Trump: Remarks at the Newtown Athletic Club Sports Training Center in Newtown, Pennsylvania","October 21, 2016","Newtown, Pennsylvania",http://www.presidency.ucsb.edu/ws/index.php?pid=119186
"Donald J. Trump: Remarks on Foreign Policy at the National Press Club in Washington, DC","April 27, 2016","Washington, DC",http://www.presidency.ucsb.edu/ws/index.php?pid=117813
"Donald J. Trump: Remarks at the Champions Center Expo in Springfield, Ohio","October 27, 2016","Springfield, Ohio",http://www.presidency.ucsb.edu/ws/index.php?pid=123518
"Donald J. Trump: Remarks at the Collier County Fairgrounds in Naples, Florida","October 23, 2016","Naples, Florida",http://www.presidency.ucsb.edu/ws/index.php?pid=119187
"Donald J. Trump: Remarks at High Point University in High Point, North Carolina","September 20, 2016","High Point, North Carolina",http://www.presidency.ucsb.edu/ws/index.php?pid=119192
"Donald J. Trump: Remarks in Virginia Beach, Virginia","July 11, 2016","Virginia Beach, Virginia",http://www.presidency.ucsb.edu/ws/index.php?pid=117815
